Date,team,goals_for,goals_against,points,gf_last5,gf_now,ga_last5,ga_now,pts_last5,pts_now,days_rest,elo
2026-05-24,Wolves,1.0,1.0,1,0.4,0.6,1.8,1.4,0.4,0.6,7.0,1421.1247349240482
2026-05-24,West Ham,3.0,0.0,3,0.6,1.2,1.6,1.6,0.8,1.2,7.0,1480.5235314683846
2026-05-24,Burnley,1.0,1.0,1,0.8,0.8,2.2,1.6,0.2,0.4,6.0,1401.5313276483118
2026-08-21,Arsenal,3.0,0.0,3,1.6,2.0,0.2,0.2,3.0,3.0,89.0,1653.012029579944
2026-08-22,Sunderland,1.0,2.0,0,1.2,1.4,1.6,1.0,1.6,1.6,90.0,1509.1309047668688
2026-08-22,Ipswich,2.0,1.0,3,0.6,1.0,2.2,1.8,0.2,0.8,454.0,1445.076007430341
2026-08-22,Man United,0.0,2.0,0,2.2,1.8,1.0,1.2,2.6,2.0,90.0,1572.992205904925
2026-08-22,Brentford,3.0,0.0,3,1.4,1.8,1.6,1.2,1.0,1.6,90.0,1534.4304274414158
2026-08-22,Leeds,1.0,0.0,3,1.4,1.2,1.4,1.0,1.6,2.0,90.0,1518.6803801000751
2026-08-23,Brighton,4.0,0.0,3,1.4,1.6,1.4,1.4,1.2,1.2,91.0,1540.23627175476
2026-08-23,Aston Villa,0.0,4.0,0,1.8,1.8,1.6,2.2,1.4,1.4,91.0,1557.5152911708058
2026-08-24,Fulham,2.0,3.0,0,0.8,1.0,1.0,1.6,1.4,0.8,92.0,1503.170105628593
2026-08-24,Chelsea,3.0,2.0,3,1.0,1.6,2.0,1.8,0.8,1.4,92.0,1535.788623922817
2026-08-28,Crystal Palace,1.0,4.0,0,1.0,0.8,2.2,2.6,0.4,0.2,6.0,1483.736357148401
2026-08-28,Man City,4.0,1.0,3,2.0,2.2,0.8,1.0,2.0,2.0,5.0,1643.8125295219525
2026-08-29,Everton,1.0,1.0,1,1.6,1.2,1.8,1.4,1.0,1.0,7.0,1516.4559232960592
2026-08-29,Hull,1.0,0.0,3,0.6,0.8,2.6,2.6,0.8,1.2,7.0,1517.781641649735
2026-08-29,Liverpool,2.0,2.0,1,1.6,1.6,2.2,2.0,0.6,0.8,6.0,1563.9404881054922
2026-08-29,Newcastle,2.0,0.0,3,1.8,1.6,1.4,1.2,1.6,1.6,6.0,1525.83189927704
2026-08-29,Tottenham,0.0,2.0,0,1.0,0.6,1.4,1.6,1.4,0.8,7.0,1450.57528332957
2026-08-29,Coventry,0.0,1.0,0,0.4,0.4,2.0,1.8,0.2,0.2,8.0,1483.9311981721823
2026-08-29,Nott'm Forest,2.0,2.0,1,1.4,1.2,1.4,1.6,1.0,0.6,7.0,1502.118833604375
2026-08-29,Bournemouth,1.0,1.0,1,1.4,1.0,0.8,1.0,1.6,1.2,6.0,1551.2537956897972
