Date,team,goals_for,goals_against,points,gf_last5,gf_now,ga_last5,ga_now,pts_last5,pts_now,days_rest,elo
2026-05-23,Pisa,1.0,2.0,0,0.4,0.4,2.2,2.2,0.0,0.0,6.0,1397.895817464401
2026-05-24,Verona,0.0,2.0,0,0.4,0.4,0.8,1.0,0.6,0.6,7.0,1405.6956172425294
2026-05-24,Cremonese,1.0,4.0,0,1.0,1.2,1.2,2.0,1.4,1.2,7.0,1439.7846446042406
2026-09-04,Como,4.0,1.0,3,1.8,2.4,0.6,0.8,2.6,2.6,5.0,1603.5281373917533
2026-09-05,Roma,2.0,1.0,3,3.0,2.8,0.4,0.2,3.0,3.0,5.0,1622.3640420411214
2026-09-05,Torino,2.0,1.0,3,1.4,1.4,1.8,1.8,0.8,0.8,7.0,1485.4648479381722
2026-09-05,Napoli,2.0,3.0,0,1.8,1.8,1.0,1.0,1.8,1.8,6.0,1599.5307417880126
2026-09-05,Inter,3.0,2.0,3,2.4,2.4,1.0,1.4,2.2,2.2,6.0,1678.9784602624434
2026-09-06,Bologna,2.0,2.0,1,1.4,1.2,1.4,1.4,1.4,1.0,6.0,1519.5105858023135
2026-09-06,Juventus,1.0,1.0,1,1.2,1.2,0.8,1.0,2.0,1.6,8.0,1606.9448583354983
2026-09-06,Parma,1.0,1.0,1,0.6,0.4,1.4,1.0,0.6,0.8,8.0,1471.958227544751
2026-09-06,Monza,1.0,1.0,1,1.2,1.0,2.6,2.6,0.6,0.2,8.0,1410.4377175531354
2026-09-06,Sassuolo,2.0,2.0,1,1.2,1.4,1.8,1.8,0.6,0.8,8.0,1491.5111987082375
2026-09-07,Udinese,1.0,2.0,0,1.2,1.0,1.0,1.4,1.4,0.8,9.0,1497.9940537871996
2026-09-07,Lecce,0.0,1.0,0,1.2,1.2,1.4,1.4,1.8,1.8,7.0,1457.8540731168337
2026-09-11,Venezia,2.0,4.0,0,0.8,1.2,2.6,2.8,0.0,0.0,5.0,1422.2067383828437
2026-09-11,Fiorentina,4.0,2.0,3,0.8,1.2,2.0,2.4,0.8,0.8,6.0,1500.2799324892444
2026-09-12,Lazio,2.0,2.0,1,1.2,1.6,0.8,0.8,2.4,2.6,5.0,1571.670404071398
2026-09-12,Frosinone,1.0,1.0,1,1.4,1.4,0.8,1.0,1.8,1.4,6.0,1486.82060524624
2026-09-12,Milan,2.0,2.0,1,1.6,1.6,1.0,1.2,2.0,1.6,6.0,1592.485352903642
2026-09-12,Genoa,1.0,1.0,1,0.4,0.4,2.0,1.8,0.0,0.2,8.0,1460.0867897426754
2026-09-12,Atalanta,1.0,2.0,0,1.0,1.2,1.0,1.2,1.4,1.4,7.0,1558.803627720579
2026-09-12,Cagliari,2.0,1.0,3,1.2,1.2,0.6,0.6,2.4,2.4,5.0,1505.6025292449583
